beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs
0.6482758620689655,2.882758620689655,-5.586080271166877,-7.381145212408336,1.465664387066881,-5.586080271166877,-7.381145212408336,36.14821430734504,36.14821430734504,-1.6653345369377333e-16,-6.661338147750933e-17,0.0,0.0,5
0.6482758620689655,3.0068965517241377,-5.585413344486872,-7.380878441736334,1.4659911130792522,-5.585413344486872,-7.380878441736334,36.14821430734504,36.28684374345696,1.1102230246251568e-16,2.2204460492503135e-17,0.0,0.0,5
0.6482758620689655,3.1310344827586207,-5.584824160295972,-7.380642768059969,1.4662797532056935,-5.584824160295972,-7.380642768059969,36.841361487904635,36.841361487904635,-3.697785493223492e-31,-1.4791141972893967e-31,0.0,0.0,5
0.6482758620689655,3.2551724137931033,-5.584301088809458,-7.380433539465369,1.4665360048538887,-5.584301088809458,-7.380433539465369,36.841361487904635,36.42547317956888,1.1102230246251565e-16,4.4408920985006264e-17,0.0,0.0,5
0.6482758620689655,3.379310344827586,-5.583834596296811,-6.180246942460309,0.48696864146558066,-5.583834596296811,-6.180246942460309,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.6482758620689655,3.503448275862069,-5.583416807567795,-7.380079826968702,1.4669692124201261,-5.583416807567795,-7.380079826968702,36.841361487904635,36.42547317956888,2.2186712959340953e-31,8.874685183736381e-32,0.0,0.0,5
0.6482758620689655,3.6275862068965514,-5.583041171410826,-7.379929572505911,1.4671532358028252,-5.583041171410826,-7.379929572505911,36.841361487904635,36.841361487904635,3.4512664603419258e-31,1.3805065841367704e-31,0.0,0.0,5
0.6482758620689655,3.7517241379310344,-5.58270220219954,-7.978824579028687,1.1980611884145733,-5.58270220219954,-7.978824579028687,36.841361487904635,36.42547317956888,-1.6653345369377343e-16,-3.330669073875469e-17,0.0,0.0,5
0.6482758620689655,3.875862068965517,-6.57785517323597,-7.377855173235969,0.9797958971132708,-6.57785517323597,-7.377855173235969,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.6482758620689655,4.0,-6.577855173235976,-7.377855173235973,0.9797958971132678,-6.577855173235976,-7.377855173235973,36.14821430734504,36.42547317956888,0.0,0.0,0.0,0.0,5
0.7724137931034483,0.4,-6.357013846522564,-6.357088841718712,9.18499818617604e-05,-5.736774511845844,-5.7360180103735425,0.6931248092787005,0.6931337577911949,0.3708866094939187,0.3716316274344014,0.05602945395419418,0.055976239759538485,5
0.7724137931034483,0.5241379310344828,-6.270264498444526,-6.305721973524253,0.0177287378598076,-5.632683996512979,-5.676784583167226,1.0977961377988241,0.7740635492389711,0.4384811125832115,0.3675172849484003,0.03663937018314848,0.0802632134598303,5
0.7724137931034483,0.6482758620689655,-6.25395510615832,-6.266491534276548,0.010235950695574685,-5.61611189521322,-5.631333276674508,1.0977961377988241,0.8549933406867478,0.42798720585573913,0.37224291817672833,0.05429480966849064,0.09933960352743024,5
0.7724137931034483,0.7724137931034483,-6.23943907024776,-6.239929935799278,0.0009047726171433256,-5.600677681454659,-5.600677681451526,0.29288519668229723,0.2909582485865498,0.0003819241442348304,0.0008274528366641049,0.49300618306147037,0.49293980569401424,5
0.7724137931034483,0.896551724137931,-5.663074967885079,-7.901244154282428,1.8274574882312253,-5.663074967885079,-5.584605334381214,36.841361487904635,15.152432903497814,-1.110223024625155e-16,0.28783992824328264,0.0,1.7428866114763413,5
0.7724137931034483,1.0206896551724138,-5.643616196236175,-8.266173720230354,2.141309251627531,-5.643616196236175,-5.617155526530424,36.841361487904635,15.152432903497814,-1.1102230246251563e-16,0.3552640149425996,0.0,2.234369446927455,5
0.7724137931034483,1.1448275862068966,-5.630126417284129,-8.77277861879634,2.565964777579711,-5.630126417284129,-5.601968986453946,36.841361487904635,15.152473172204447,-5.55111512312578e-17,0.3941713201378074,0.0,3.0458121310832977,5
0.7724137931034483,1.2689655172413792,-5.406207328821969,-9.694295044770993,3.414438621628052,-5.406207328821969,-5.5522426863683565,36.14821430734504,15.013803467385895,7.075081342337339e-17,0.41338547476794785,0.0,4.576988333445363,5
0.7724137931034483,1.3931034482758622,-5.3808157117042965,-12.260432839490045,5.522823034231391,-5.3808157117042965,-5.5454861031901,36.14821430734504,14.875174031273977,-1.7346907920444598e-16,0.4158828655534686,0.0,8.604540999383548,5
0.7724137931034483,1.5172413793103448,-5.607606156755534,-20.69724612152324,12.320639438663202,-5.607606156755534,-5.58973543264082,36.841361487904635,15.013803467385895,-5.551115123125777e-17,0.41588830833596485,0.0,22.104816892742946,5
0.7724137931034483,1.6413793103448278,-5.603272931351603,-19.593649346066417,11.423094508506543,-5.603272931351603,-5.588002142479247,36.841361487904635,15.152432903497814,-2.2204460492503123e-16,0.41588830833596474,0.0,22.104816892742946,5
0.7724137931034483,1.7655172413793103,-5.59982118647479,-18.64535471544009,10.651633522778178,-5.59982118647479,-5.586621444528522,36.841361487904635,15.152432903497814,5.551115123125791e-17,0.41588830833596485,0.0,22.104816892742946,5
0.7724137931034483,1.8896551724137929,-5.320561137483994,-17.766442004335712,10.049532710332828,-5.320561137483994,-5.530210616551125,36.841361487904635,15.152432903497814,-2.1761759657518864e-16,0.41588830833596474,0.0,22.104816892742946,5
0.7724137931034483,2.013793103448276,-5.3116535189914975,-7.327990530436817,1.5333805372343177,-5.3116535189914975,-7.327990530436817,36.841361487904635,36.841361487904635,1.4543874347511955e-16,2.908774869502394e-17,0.0,0.0,5
0.7724137931034483,2.1379310344827585,-5.592827919511149,-7.38384427174604,1.4623587279854366,-5.592827919511149,-7.38384427174604,36.841361487904635,36.841361487904635,-1.110223024625156e-16,-4.440892098500624e-17,0.0,0.0,5
0.7724137931034483,2.2620689655172415,-5.59122727324549,-7.3832040132397765,1.4631428813073475,-5.59122727324549,-7.3832040132397765,36.841361487904635,36.841361487904635,-5.551115123125732e-17,-2.220446049250293e-17,0.0,0.0,5
0.7724137931034483,2.386206896551724,-5.292540689316262,-7.323195217748307,1.5395122184000076,-5.292540689316262,-7.323195217748307,36.841361487904635,36.841361487904635,7.223308382174558e-17,3.3443865180975686e-18,0.0,0.0,5
0.7724137931034483,2.5103448275862066,-5.287937875442061,-7.261888356261551,1.6117236100109464,-5.287937875442061,-7.261888356261551,36.841361487904635,36.42547317956888,-1.470243602643178e-16,-8.866992573524255e-17,0.0,0.0,5
0.7724137931034483,2.6344827586206896,-5.283960490494281,-7.321046805338409,1.5422636500873832,-5.283960490494281,-7.321046805338409,36.841361487904635,36.28684374345696,2.4651903288156613e-32,7.395570986446984e-33,0.0,0.0,5
